,compSize,skill,experience,education,salary
552,1250.0,6,4.0,2,18.0
553,100.0,3,4.0,1,12.0
554,1250.0,12,4.0,2,15.0
555,2000.0,5,4.0,1,12.0
556,2000.0,10,4.0,1,17.5
557,325.0,8,4.0,2,16.5
558,1250.0,8,7.5,2,27.5
559,325.0,11,4.0,2,25.0
560,2000.0,2,7.5,2,30.0
561,100.0,8,4.0,2,16.5
562,1250.0,12,4.0,2,15.0
563,1250.0,5,7.5,1,18.0
564,2000.0,8,4.0,2,11.5
565,100.0,3,2.0,2,12.5
566,2000.0,4,7.5,2,40.0
567,325.0,2,7.5,2,20.0
568,1250.0,5,4.0,0,15.0
569,100.0,17,4.0,1,7.5
570,2000.0,17,4.0,2,22.5
571,1250.0,7,2.0,1,12.0
572,100.0,0,4.0,2,17.5
573,325.0,2,2.0,2,22.5
574,2000.0,31,4.0,1,12.0
575,325.0,9,4.0,1,22.5
576,1250.0,6,4.0,2,22.5
577,100.0,14,4.0,2,15.0
578,1250.0,2,4.0,2,20.0
579,100.0,10,2.0,2,12.5
580,1250.0,10,4.0,2,24.5
581,325.0,6,4.0,2,22.5
582,1250.0,4,4.0,2,19.0
583,325.0,11,4.0,2,21.5
584,1250.0,12,4.0,2,12.5
585,2000.0,4,4.0,2,18.0
586,2000.0,9,4.0,2,12.5
587,32.5,11,7.5,0,15.0
588,325.0,4,4.0,2,15.0
589,2000.0,9,4.0,1,15.0
590,2000.0,4,4.0,2,20.0
591,1250.0,3,0.0,2,13.5
592,325.0,6,4.0,2,17.0
593,2000.0,3,4.0,2,20.0
594,2000.0,8,4.0,2,21.5
595,100.0,4,2.0,2,18.0
596,100.0,10,4.0,2,22.5
597,1250.0,6,7.5,2,22.5
598,1250.0,5,4.0,0,12.5
599,32.5,6,2.0,2,9.0
600,2000.0,9,4.0,2,19.0
601,1250.0,7,4.0,1,12.5
602,2000.0,5,2.0,2,11.0
603,1250.0,9,7.5,2,35.0
604,325.0,16,7.5,2,37.5
605,325.0,6,4.0,1,18.5
606,1250.0,5,2.0,2,12.0
607,1250.0,9,7.5,2,25.0
608,325.0,9,0.0,2,24.0
609,2000.0,9,7.5,2,17.5
610,325.0,9,4.0,2,13.0
611,1250.0,7,7.5,2,20.0
612,1250.0,12,4.0,2,20.0
613,2000.0,10,2.0,2,12.0
614,1250.0,8,7.5,2,22.5
615,1250.0,6,4.0,0,12.5
616,1250.0,6,2.0,2,12.0
617,1250.0,0,4.0,2,30.0
618,100.0,4,2.0,2,7.5
619,2000.0,5,2.0,2,9.0
620,100.0,4,4.0,2,27.5
621,325.0,12,7.5,2,22.5
622,2000.0,0,4.0,2,17.5
623,2000.0,9,0.0,0,29.0
624,100.0,4,4.0,2,17.0
625,325.0,7,2.0,2,10.5
626,2000.0,5,4.0,2,19.0
627,325.0,9,2.0,2,27.5
628,325.0,4,7.5,2,30.0
629,325.0,7,4.0,2,22.5
630,100.0,21,2.0,2,10.5
631,100.0,5,4.0,2,22.5
632,1250.0,12,0.0,2,22.5
633,100.0,10,2.0,2,20.0
634,325.0,1,2.0,2,17.5
635,2000.0,5,4.0,2,20.0
636,2000.0,15,2.0,2,7.5
637,2000.0,7,4.0,2,19.5
638,1250.0,4,4.0,2,19.0
639,100.0,1,4.0,2,15.0
640,100.0,2,2.0,2,9.0
641,325.0,15,4.0,2,16.0
642,100.0,12,7.5,2,25.0
643,2000.0,10,4.0,2,20.0
644,1250.0,9,7.5,2,22.5
645,2000.0,15,2.0,2,7.5
646,325.0,2,2.0,2,22.5
647,2000.0,10,4.0,1,13.0
648,1250.0,12,4.0,2,13.0
649,32.5,9,2.0,1,12.5
650,100.0,2,4.0,2,24.0
651,2000.0,1,4.0,2,25.0
652,2000.0,4,4.0,2,15.0
653,2000.0,1,4.0,2,20.0
654,325.0,1,4.0,2,22.5
655,1250.0,4,4.0,2,22.5
656,2000.0,13,4.0,2,27.0
657,1250.0,5,4.0,2,20.0
658,1250.0,12,4.0,2,22.5
659,1250.0,6,4.0,2,17.0
660,325.0,2,2.0,2,22.5
661,325.0,8,4.0,2,22.5
662,1250.0,6,2.0,2,8.5
663,2000.0,5,4.0,2,20.0
664,2000.0,2,2.0,2,12.5
665,1250.0,5,4.0,2,20.0
666,2000.0,8,7.5,2,28.5
667,325.0,3,4.0,2,17.5
668,1250.0,12,4.0,2,20.0
669,32.5,12,4.0,1,12.5
670,1250.0,15,4.0,2,22.5
671,2000.0,9,2.0,2,9.0
672,100.0,8,4.0,2,14.0
673,325.0,9,7.5,2,24.0
674,1250.0,9,4.0,2,22.5
675,2000.0,1,4.0,2,27.5
676,325.0,11,4.0,2,20.0
677,2000.0,7,4.0,1,11.5
678,100.0,13,4.0,2,15.0
679,2000.0,7,4.0,2,22.5
680,100.0,13,7.5,1,18.0
681,100.0,5,7.5,2,25.0
